relative_path,classID,Class
"Male speech, man speaking/0a6-rmz95JM_30.wav",15,"Male speech, man speaking"
Clapping/BMREF9W2XMI_40.wav,6,Clapping
"Male speech, man speaking/-qQzkdt5BwY_30.wav",15,"Male speech, man speaking"
"Dishes, pots, and pans/32V6Gv7S6mA_50.wav",9,"Dishes, pots, and pans"
Whimper/-pSkWztl5Uc_30.wav,24,Whimper
"Smash, crash/GmSi5hGzJLE_40.wav",19,"Smash, crash"
"Male speech, man speaking/-1UcysYcIKg_30.wav",15,"Male speech, man speaking"
Whispering/0DNRfKvuv-I_130.wav,25,Whispering
Snicker/JTYbGYSRRVg_30.wav,20,Snicker
Babbling/MTnrE2a-wUg_0.wav,1,Babbling
Rustle/KZwZ0qVhzAQ_30.wav,16,Rustle
Singing/-KBt-6N5Beo_30.wav,18,Singing
"Smash, crash/Nfs98kE20to_0.wav",19,"Smash, crash"
Rustle/3NdYz8o8EKQ_30.wav,16,Rustle
Conversation/5_I1wAZo5-8_30.wav,7,Conversation
Whimper/4mgZEOlaRDg_30.wav,24,Whimper
Conversation/JUCkLYVYMoM_100.wav,7,Conversation
"Male speech, man speaking/-odrOh6OYHg_30.wav",15,"Male speech, man speaking"
Rustle/3mFsFj5iqW0_480.wav,16,Rustle
"Male speech, man speaking/-bnvmQgstTg_30.wav",15,"Male speech, man speaking"
"Female speech, woman speaking/257Puu53ZoA_50.wav",12,"Female speech, woman speaking"
"Female speech, woman speaking/67cYVu30esA_30.wav",12,"Female speech, woman speaking"
Rustle/-h6vzQX79fc_30.wav,16,Rustle
Groan/Hk7192ulGNU_30.wav,14,Groan
Clapping/18cB7ZL5rgo_190.wav,6,Clapping
Rustle/OoHKG9XWa3o_30.wav,16,Rustle
Snicker/1KbnIhcNDew_30.wav,20,Snicker
Clapping/3du766Lp0Os_30.wav,6,Clapping
Conversation/0UvLOZWKe2E_30.wav,7,Conversation
Whoop/0feTvYFmkvs_30.wav,27,Whoop
Snicker/1nV-9_4ny5I_460.wav,20,Snicker
"Female speech, woman speaking/7RZeCcbIS6M_30.wav",12,"Female speech, woman speaking"
Whoop/KVYWpBYiTLM_30.wav,27,Whoop
"Male speech, man speaking/0qkll4Q1raY_30.wav",15,"Male speech, man speaking"
Snicker/5Y1Fi6KWvYM_30.wav,20,Snicker
"Male speech, man speaking/-ZOaiQv7NT4_30.wav",15,"Male speech, man speaking"
"Dishes, pots, and pans/Jqgb6hEqXv0_210.wav",9,"Dishes, pots, and pans"
Drawer open or close/HfgmugyiyV0_210.wav,11,Drawer open or close
"Smash, crash/7byyYLa12nU_30.wav",19,"Smash, crash"
Breathing/-W9N8xqohLA_80.wav,4,Breathing
Screaming/KMixx_7pW8Y_520.wav,17,Screaming
"Female speech, woman speaking/483b6GeUzSU_30.wav",12,"Female speech, woman speaking"
"Female speech, woman speaking/-hitrPBQo6k_30.wav",12,"Female speech, woman speaking"
Screaming/Hu18136at0Y_30.wav,17,Screaming
"Male speech, man speaking/-TWs5Eri8Ek_30.wav",15,"Male speech, man speaking"
Whimper/0owy7QBCqMw_30.wav,24,Whimper
Conversation/2JvBQBbzBD4_30.wav,7,Conversation
Whimper/-CEC5RoRUbU_30.wav,24,Whimper
"Smash, crash/8h399jJdFYA_30.wav",19,"Smash, crash"
"Female speech, woman speaking/192b15cXKdc_30.wav",12,"Female speech, woman speaking"
"Female speech, woman speaking/165X-MlBWFA_30.wav",12,"Female speech, woman speaking"
Whispering/Km0eOMQ4S2c_400.wav,25,Whispering
Whimper/0fPqbvlhkOc_30.wav,24,Whimper
Clapping/JV95Op42JXk_10.wav,6,Clapping
"Female speech, woman speaking/7eXD-6TJJ7I_30.wav",12,"Female speech, woman speaking"
Whimper/IjFAgJnUikM_30.wav,24,Whimper
Whispering/3gJZYiEfPU0_0.wav,25,Whispering
"Female speech, woman speaking/9EEmZF7v1gI_20.wav",12,"Female speech, woman speaking"
Conversation/6uYgo7Oz860_30.wav,7,Conversation
Screaming/3O4etBY6e6U_160.wav,17,Screaming
Whoop/3ZjgDZNGIwg_120.wav,27,Whoop
"Smash, crash/AV99tsJuB-A_30.wav",19,"Smash, crash"
Singing/-I5ATomWbaE_30.wav,18,Singing
"Male speech, man speaking/0pkmm3wTJ2g_30.wav",15,"Male speech, man speaking"
Whimper/5RpXe4bKehs_20.wav,24,Whimper
Whispering/0-QwHBKfR5A_230.wav,25,Whispering
Yell/AkcbC2GrNqs_30.wav,28,Yell
"Male speech, man speaking/0wVM3uHLbfE_30.wav",15,"Male speech, man speaking"
"Smash, crash/06reXqx5RX8_30.wav",19,"Smash, crash"
Conversation/6BHZG74GZl8_30.wav,7,Conversation
Whimper/7duNuj4z2jk_30.wav,24,Whimper
"Male speech, man speaking/0Y1fEvTB5zw_30.wav",15,"Male speech, man speaking"
Singing/-4MJNZDXuek_30.wav,18,Singing
Whimper/4LZfNU_Cp-U_30.wav,24,Whimper
Whimper/2wYIy9Osu-I_30.wav,24,Whimper
Conversation/3An5NRWhyZ8_220.wav,7,Conversation
"Female speech, woman speaking/7OLEOAdxjmU_30.wav",12,"Female speech, woman speaking"
Conversation/6exAP4nzr90_30.wav,7,Conversation
Singing/-B89e9t5YFA_30.wav,18,Singing
"Female speech, woman speaking/21OICSZB0Xw_30.wav",12,"Female speech, woman speaking"
Speech/0WeitaYjKNk_30.wav,21,Speech
Children shouting/MH5cAorLjFc_70.wav,5,Children shouting
Conversation/0roWwpgFQYI_30.wav,7,Conversation
Screaming/CIDLvXz84L0_0.wav,17,Screaming
Whimper/M5YnhKu3Nvg_11.wav,24,Whimper
Children shouting/EldAcfs-cHk_0.wav,5,Children shouting
Whimper/2bMuf-I23K8_30.wav,24,Whimper
Singing/-EiXncXE4Yw_30.wav,18,Singing
Speech/--jvWxZZzeM_30.wav,21,Speech
"Male speech, man speaking/-hES-bzNo_4_280.wav",15,"Male speech, man speaking"
Children shouting/2vopZUnsHR8_30.wav,5,Children shouting
Snicker/OpA6yEK1oys_270.wav,20,Snicker
"Female speech, woman speaking/28F3r8Crd4I_30.wav",12,"Female speech, woman speaking"
Clapping/-RPIKZn47yg_30.wav,6,Clapping
Speech/--KOVP2LfZw_30.wav,21,Speech
Whimper/JCgR8GAAHiw_510.wav,24,Whimper
Whimper/1dmz0KR31Xg_30.wav,24,Whimper
Speech/E-vJAWPCM0g_12.wav,21,Speech
Groan/D4xsax5gQQo_0.wav,14,Groan
"Female speech, woman speaking/27-5GiUQ7fE_20.wav",12,"Female speech, woman speaking"
Conversation/7hyqRqBhf-4_30.wav,7,Conversation
Battle cry/NTxrU-1RMC8_10.wav,2,Battle cry
Finger snapping/2sGAX154rVw_180.wav,13,Finger snapping
Singing/-DvN_13147k_30.wav,18,Singing
"Female speech, woman speaking/200Fo8969GM_30.wav",12,"Female speech, woman speaking"
"Female speech, woman speaking/7xyWLAgMN1Q_30.wav",12,"Female speech, woman speaking"
White noise/4RDIBKydI0E_30.wav,26,White noise
Babbling/38j8HLWZAZY_20.wav,1,Babbling
Finger snapping/DgOv7Kvz-tg_0.wav,13,Finger snapping
Singing/-GrAgYivdSM_20.wav,18,Singing
"Female speech, woman speaking/-9BUVsu-Uwg_30.wav",12,"Female speech, woman speaking"
"Female speech, woman speaking/7GlKXC3kcGQ_30.wav",12,"Female speech, woman speaking"
Conversation/ATUepOczDfg_30.wav,7,Conversation
Conversation/7uFn-JibCD4_30.wav,7,Conversation
Cupboard open or close/2tIUnqEwkHc_140.wav,8,Cupboard open or close
Singing/-300NSqAZUM_30.wav,18,Singing
Whoop/CTO-XpNiQkE_120.wav,27,Whoop
Speech/0SOYJt0lFVI_30.wav,21,Speech
Whispering/5sUF8OIn1qI_30.wav,25,Whispering
Battle cry/-D_gWD3VjIM_0.wav,2,Battle cry
"Male speech, man speaking/0pBHz22tcpo_30.wav",15,"Male speech, man speaking"
"Female speech, woman speaking/8XtgiMHTSAI_30.wav",12,"Female speech, woman speaking"
White noise/I_AFdlTaI44_30.wav,26,White noise
"Male speech, man speaking/0gnjkH9GMFs_30.wav",15,"Male speech, man speaking"
Singing/-G37IhBq6sc_0.wav,18,Singing
Groan/7VnqKF5Mhtg_140.wav,14,Groan
Children shouting/C1LKa2O_rJE_60.wav,5,Children shouting
"Male speech, man speaking/0xQ9mBXNrpY_30.wav",15,"Male speech, man speaking"
Snicker/4Y9ok_D4lTg_110.wav,20,Snicker
Whimper/9jYy-LdBOlU_30.wav,24,Whimper
Singing/-3gdJuLQGR8_30.wav,18,Singing
Whimper/0UUsMQkiy_g_30.wav,24,Whimper
Whimper/2OBq11HYl6k_30.wav,24,Whimper
Whimper/0rTkdJOIZCM_22.wav,24,Whimper
"Smash, crash/Ny_rN_R0ygI_30.wav",19,"Smash, crash"
Conversation/GXJdmsN0JqI_140.wav,7,Conversation
Whimper/3XJHBHuiF3Y_0.wav,24,Whimper
Conversation/1wBqOJZHHjM_110.wav,7,Conversation
"Male speech, man speaking/-Xr-pMPTEeg_30.wav",15,"Male speech, man speaking"
"Male speech, man speaking/-41SXF4cmdM_30.wav",15,"Male speech, man speaking"
Bellow/AdlhbnRxY1U_130.wav,3,Bellow
White noise/6DdV1h22Nbw_20.wav,26,White noise
"Male speech, man speaking/0bYRwOSKGaM_30.wav",15,"Male speech, man speaking"
Children shouting/F4ZhRnRVc7A_560.wav,5,Children shouting
White noise/2m-f4tp2SJU_2.wav,26,White noise
Dogs/1MYPt58xkLA_10.wav,10,Dogs
"Male speech, man speaking/0xN9ILxyT3s_30.wav",15,"Male speech, man speaking"
"Dishes, pots, and pans/NEWXLFML6lI_30.wav",9,"Dishes, pots, and pans"
"Female speech, woman speaking/7W8vnZ9Ftu8_30.wav",12,"Female speech, woman speaking"
Whimper/M16_dZE1jfI_30.wav,24,Whimper
"Male speech, man speaking/0uzdt8Y6FEo_30.wav",15,"Male speech, man speaking"
"Female speech, woman speaking/8OpLsWMn6P0_30.wav",12,"Female speech, woman speaking"
Whimper/6jUuj4YYzns_20.wav,24,Whimper
White noise/2SJKgsc4Zls_19.wav,26,White noise
Yell/FZ6s__ZIViE_30.wav,28,Yell
Speech/Ed40SNOV-J8_30.wav,21,Speech
Babbling/K1Ue0mz8hXk_410.wav,1,Babbling
White noise/DHOcmxWc1l8_22.wav,26,White noise
Whimper/20p-Y9HEHPE_30.wav,24,Whimper
Groan/B4SFr3VD6ks_90.wav,14,Groan
Singing/-CMsSlNzduM_30.wav,18,Singing
Whispering/0dTjOs-rCzc_30.wav,25,Whispering
"Smash, crash/LqaAarN0GWw_11.wav",19,"Smash, crash"
"Female speech, woman speaking/93_uoz8330k_30.wav",12,"Female speech, woman speaking"
Singing/-9v4NWKwb1Q_30.wav,18,Singing
"Male speech, man speaking/00Z3Sl82GRw_30.wav",15,"Male speech, man speaking"
Conversation/4yChsodYfKs_30.wav,7,Conversation
Screaming/C92T1QixZPU_30.wav,17,Screaming
"Smash, crash/2a-G7ZxrWdk_1.wav",19,"Smash, crash"
Conversation/C1Vjz0lYSt8_30.wav,7,Conversation
Rustle/2088z2NT04k_4.wav,16,Rustle
Conversation/2lGzGwby7yE_8.wav,7,Conversation
Whispering/NFr8szSUEcs_0.wav,25,Whispering
Whimper/-PElziHvJ3U_30.wav,24,Whimper
White noise/MtFlOk95-TE_30.wav,26,White noise
Breathing/22Ud072mke0_60.wav,4,Breathing
"Smash, crash/52pQYx4yR6M_0.wav",19,"Smash, crash"
Speech/46HTmHmS77w_30.wav,21,Speech
Whimper/0C0FQaMbk84_30.wav,24,Whimper
Singing/-FCEkPIeB9I_30.wav,18,Singing
Snicker/FW73jCugpEQ_440.wav,20,Snicker
"Female speech, woman speaking/7yItz7T4p3M_30.wav",12,"Female speech, woman speaking"
White noise/Kae3e0xqhHg_30.wav,26,White noise
"Dishes, pots, and pans/9A1Sm-1KEqo_190.wav",9,"Dishes, pots, and pans"
Whispering/GhCsCmpZmGQ_30.wav,25,Whispering
Speech/-kDSn53Wpt8_350.wav,21,Speech
Babbling/Euk3rtk0xUM_30.wav,1,Babbling
Whoop/D6slIrBwS4k_30.wav,27,Whoop
Singing/-IhLs770x5E_30.wav,18,Singing
Babbling/-5mNXYRyIJE_50.wav,1,Babbling
"Dishes, pots, and pans/OUuix9-i_eg_10.wav",9,"Dishes, pots, and pans"
White noise/NP6tnoFrzEg_30.wav,26,White noise
Screaming/2LzHPXXJKHg_0.wav,17,Screaming
Rustle/89ip0I55p4w_17.wav,16,Rustle
"Female speech, woman speaking/8m6OIYOBxOg_30.wav",12,"Female speech, woman speaking"
Singing/-3SE2nOj6d4_30.wav,18,Singing
"Dishes, pots, and pans/A4GRM9UglZ8_0.wav",9,"Dishes, pots, and pans"
Singing/-3Me7l4rGok_140.wav,18,Singing
Conversation/H_JJPGO9uWU_30.wav,7,Conversation
White noise/GWs3a2G4Bj8_30.wav,26,White noise
"Female speech, woman speaking/31FoIjI0nUE_200.wav",12,"Female speech, woman speaking"
Rustle/IGn2bpIjuog_4.wav,16,Rustle
Singing/-9iDIeYyfTw_30.wav,18,Singing
"Female speech, woman speaking/9Gcw0gOTL0s_150.wav",12,"Female speech, woman speaking"
"Smash, crash/LM75AqHug5k_100.wav",19,"Smash, crash"
Rustle/4nAMqUut19k_30.wav,16,Rustle
Conversation/1GEogW_skHk_30.wav,7,Conversation
White noise/IL95vLvBAIE_10.wav,26,White noise
"Female speech, woman speaking/-CD6NK7xJB4_30.wav",12,"Female speech, woman speaking"
"Male speech, man speaking/0pYg2klwGhY_30.wav",15,"Male speech, man speaking"
Groan/84EJcpR-1FA_210.wav,14,Groan
Whoop/JjU11T9rU_I_30.wav,27,Whoop
White noise/EpUJluhWj9Q_22.wav,26,White noise
Whimper/Nqaltinr5Ig_30.wav,24,Whimper
Screaming/6vuvHFVTuuc_110.wav,17,Screaming
"Female speech, woman speaking/87FA1AHsn1I_15.wav",12,"Female speech, woman speaking"
Whimper/4waj6E5-P58_4.wav,24,Whimper
Rustle/CwWySkDDtpk_30.wav,16,Rustle
Rustle/0fZUo75INX4_30.wav,16,Rustle
"Female speech, woman speaking/88x9BDKOUT4_30.wav",12,"Female speech, woman speaking"
Children shouting/Htn_jYoaDL8_200.wav,5,Children shouting
Conversation/5MGfkxYT2lo_30.wav,7,Conversation
"Female speech, woman speaking/-rkHcQDaJEs_30.wav",12,"Female speech, woman speaking"
"Dishes, pots, and pans/GuNDfj97MpY_30.wav",9,"Dishes, pots, and pans"
Whimper/7EWWhDSFreY_30.wav,24,Whimper
White noise/7W6eWN2zbL4_40.wav,26,White noise
Whimper/-Xfel4L0Nxw_6.wav,24,Whimper
Speech/Aj_KWLmhntE_30.wav,21,Speech
Whimper/FkXN_o24X8o_2.wav,24,Whimper
Conversation/C1VxrBknEHY_30.wav,7,Conversation
Snicker/GlH1DUQdjRs_70.wav,20,Snicker
Yell/DmOvscH858s_150.wav,28,Yell
Singing/-6tCDtZtm3A_30.wav,18,Singing
Speech/71ZZWroAf5g_30.wav,21,Speech
Whimper/57Gack01oxQ_30.wav,24,Whimper
"Male speech, man speaking/-6QX3C0u2qI_30.wav",15,"Male speech, man speaking"
Whispering/LD_qiMiJD7w_370.wav,25,Whispering
Snicker/FJYgCT6OiYI_110.wav,20,Snicker
Singing/-9plQfb92A4_90.wav,18,Singing
Singing/-CWHcINgZLM_19.wav,18,Singing
"Female speech, woman speaking/18iu2T9siJs_30.wav",12,"Female speech, woman speaking"
Speech/3WVE4BGD5uw_430.wav,21,Speech
"Male speech, man speaking/-SqYSX0hVAw_30.wav",15,"Male speech, man speaking"
"Male speech, man speaking/0uqWTT1lt_Q_30.wav",15,"Male speech, man speaking"
Whispering/4DDfGSt3zHs_30.wav,25,Whispering
Singing/-CSr2JNRRsg_30.wav,18,Singing
Whimper/1VFCMQjTirY_30.wav,24,Whimper
Whimper/4Fy1cw9R_ts_30.wav,24,Whimper
Speech/5_I1wAZo5-8_30.wav,21,Speech
Whispering/3zpTny84oPg_90.wav,25,Whispering
Whimper/4ULFyIABHJ4_30.wav,24,Whimper
Breathing/I3TjJyEObYU_30.wav,4,Breathing
Snicker/NBhIRgO-WVg_140.wav,20,Snicker
"Dishes, pots, and pans/2eyZ_AQ3lu0_110.wav",9,"Dishes, pots, and pans"
"Male speech, man speaking/-8RuvUaOmz4_30.wav",15,"Male speech, man speaking"
Conversation/-jjZP36e37U_30.wav,7,Conversation
"Female speech, woman speaking/7blDmm9dCdo_130.wav",12,"Female speech, woman speaking"
Singing/-BfT0FVUiFM_3.wav,18,Singing
"Female speech, woman speaking/7mvFkMkeID0_30.wav",12,"Female speech, woman speaking"
White noise/Hq0BDKf-0eo_10.wav,26,White noise
Speech/--8hipdKBT4_10.wav,21,Speech
Snicker/7kRYwSWoY5Q_0.wav,20,Snicker
White noise/3DPvx74Z0qk_440.wav,26,White noise
Rustle/FVObv0DjeIY_30.wav,16,Rustle
Conversation/5pKTXD1zn3I_30.wav,7,Conversation
Speech/78HSioCAqk4_30.wav,21,Speech
Whimper/3qPBmioT8Fo_30.wav,24,Whimper
Bellow/C44RFFBn5VY_30.wav,3,Bellow
Rustle/ITXE-k7zzbo_80.wav,16,Rustle
White noise/C9dT9gj4I9Y_420.wav,26,White noise
White noise/9FtTu38Cybw_17.wav,26,White noise
Speech/--Cj78MFKAg_480.wav,21,Speech
Speech/LuBoAav1MAE_410.wav,21,Speech
"Smash, crash/-C4rxr9erCk_30.wav",19,"Smash, crash"
Breathing/LlkubS_2Bxg_360.wav,4,Breathing
Whimper/1tOBtki9Xzk_30.wav,24,Whimper
"Female speech, woman speaking/09wv_icjkEk_30.wav",12,"Female speech, woman speaking"
Conversation/59_oDK9NxPw_30.wav,7,Conversation
Whimper/3mVfyuFp3NQ_30.wav,24,Whimper
Singing/-6O-MybzRHk_30.wav,18,Singing
Whispering/KITp_jw-FsY_30.wav,25,Whispering
"Female speech, woman speaking/-k2QXjuG1UE_30.wav",12,"Female speech, woman speaking"
Speech/--RfFvz-qaU_18.wav,21,Speech
Drawer open or close/-FakAjtg2uk_25.wav,11,Drawer open or close
.git/packed-refs,0,.git
Cupboard open or close/13WRrCQIVuM_130.wav,8,Cupboard open or close
Speech/-_UQbQXgiSo_30.wav,21,Speech
Conversation/4bLTXCwTLKw_80.wav,7,Conversation
Children shouting/4qoeYzF9-0E_330.wav,5,Children shouting
Yell/091BZfPnIEk_190.wav,28,Yell
Breathing/4HkOs_g7sO8_50.wav,4,Breathing
Rustle/-bAXWuhTtS0_30.wav,16,Rustle
Whimper/2DHqqMSoP54_30.wav,24,Whimper
Whimper/4AtBY_MyoD4_21.wav,24,Whimper
Singing/-Bsmq_VyKtw_30.wav,18,Singing
"Male speech, man speaking/-Ls9TLd17DY_30.wav",15,"Male speech, man speaking"
White noise/-xWxpInX8XY_30.wav,26,White noise
Conversation/-eXUC9LoB-0_2.wav,7,Conversation
White noise/7jJQO8U_WBo_19.wav,26,White noise
Snicker/7XCSZi0rS5E_550.wav,20,Snicker
"Female speech, woman speaking/8h4rOmAJtSQ_30.wav",12,"Female speech, woman speaking"
Snicker/CPIwovAzC2o_170.wav,20,Snicker
White noise/Ch7e_8lj2ik_30.wav,26,White noise
Speech/--L3BCCcGEw_400.wav,21,Speech
Whoop/3h1QAlgS5LU_170.wav,27,Whoop
Children shouting/LsxZVi4jePo_200.wav,5,Children shouting
Singing/-5xyaoo15yQ_30.wav,18,Singing
Screaming/1lFcPooQI8A_30.wav,17,Screaming
Screaming/Bz1oeOa122A_140.wav,17,Screaming
Speech/NObH_EwD-wc_180.wav,21,Speech
Snicker/HM6ZGx9WB48_0.wav,20,Snicker
Rustle/7PB65l9c8NM_30.wav,16,Rustle
White noise/3ani52kIx5o_40.wav,26,White noise
Clapping/8ishaG9pyMA_30.wav,6,Clapping
"Female speech, woman speaking/-y_iw_jrRik_250.wav",12,"Female speech, woman speaking"
Whimper/5knnBKpA9p8_27.wav,24,Whimper
Speech/9j-W1ymnT0U_130.wav,21,Speech
Singing/-78GZbMOtZY_30.wav,18,Singing
"Female speech, woman speaking/-Qo6QJo_tJA_30.wav",12,"Female speech, woman speaking"
White noise/3JFjFh-eOnA_8.wav,26,White noise
Singing/-1bcj2TKFMI_30.wav,18,Singing
Conversation/20V4yE1X0uc_30.wav,7,Conversation
White noise/KbjH6Pbi5O4_30.wav,26,White noise
Whimper/McejXVWpZTg_30.wav,24,Whimper
White noise/9WbU1OqmL-8_30.wav,26,White noise
Conversation/DKQsqVB9vcQ_80.wav,7,Conversation
Speech/N4UuAhSHqtA_510.wav,21,Speech
Whoop/MyDHftdsGyQ_10.wav,27,Whoop
Conversation/Ny1GwYgHoWM_210.wav,7,Conversation
Speech/ETMY5OFz5NY_30.wav,21,Speech
Screaming/5SuuqLsuCaQ_30.wav,17,Screaming
Singing/-BfXVjsdZV4_30.wav,18,Singing
"Smash, crash/H29trapnfcs_3.wav",19,"Smash, crash"
"Dishes, pots, and pans/J2KH74vMMnw_30.wav",9,"Dishes, pots, and pans"
Conversation/1rKtiojEHWg_130.wav,7,Conversation
Babbling/Ck0nrxefKQA_50.wav,1,Babbling
Screaming/CC4G1xMDcz4_0.wav,17,Screaming
Whispering/-bBBvgHnCIM_30.wav,25,Whispering
"Female speech, woman speaking/9fc6XGjIg18_30.wav",12,"Female speech, woman speaking"
Whoop/PB2OkXQtsd8_30.wav,27,Whoop
Whispering/AuP485XfaNQ_30.wav,25,Whispering
Rustle/2WI6pXrwj0A_21.wav,16,Rustle
Whimper/6pucgE9AGDk_0.wav,24,Whimper
"Dishes, pots, and pans/6ADSmey_GJE_170.wav",9,"Dishes, pots, and pans"
"Dishes, pots, and pans/62TTJJ0f-_Q_120.wav",9,"Dishes, pots, and pans"
Whoop/IxvsAS0hFgs_150.wav,27,Whoop
Singing/-DryBkiKuvE_40.wav,18,Singing
Rustle/9f-eRmuQTgs_13.wav,16,Rustle
Speech/I4l06h-KQtE_60.wav,21,Speech
Babbling/N2__8f0q_Kg_10.wav,1,Babbling
Conversation/37XhE6kN6Ck_30.wav,7,Conversation
Snicker/EzmNilLZJ6M_30.wav,20,Snicker
Whoop/L62GjbRF_3w_30.wav,27,Whoop
"Female speech, woman speaking/418Z930uCoU_30.wav",12,"Female speech, woman speaking"
"Smash, crash/2ycndD5Sgog_26.wav",19,"Smash, crash"
Whispering/0WLWu3U3h3o_30.wav,25,Whispering
"Male speech, man speaking/05LOtWRfhqY_30.wav",15,"Male speech, man speaking"
Snicker/3xDoHITRLwY_10.wav,20,Snicker
"Female speech, woman speaking/07ul7lRva50_30.wav",12,"Female speech, woman speaking"
"Female speech, woman speaking/-pHFn_KSw-k_60.wav",12,"Female speech, woman speaking"
"Male speech, man speaking/0uDAC48C8Bc_30.wav",15,"Male speech, man speaking"
Speech/2QJm7cQy3Cw_30.wav,21,Speech
"Dishes, pots, and pans/Lr0Tg2O-M7I_580.wav",9,"Dishes, pots, and pans"
Whimper/1rqicm2rXR0_27.wav,24,Whimper
White noise/KnBvmVwiBkc_30.wav,26,White noise
White noise/F3nRFda1Pbg_30.wav,26,White noise
"Male speech, man speaking/-5xVy_5R3U4_30.wav",15,"Male speech, man speaking"
shatter/CkP3lJZqhZk_360.wav,29,shatter
Whimper/6sL-miFrqQk_30.wav,24,Whimper
Singing/-BjORVxy9z8_30.wav,18,Singing
Yell/JYyBeQo_gF4_10.wav,28,Yell
"Female speech, woman speaking/31JB68E_FYU_250.wav",12,"Female speech, woman speaking"
Groan/IyO1MBg8twM_180.wav,14,Groan
Whoop/0Qua7vj3pxw_30.wav,27,Whoop
"Male speech, man speaking/-JTqBXPtpI4_30.wav",15,"Male speech, man speaking"
"Male speech, man speaking/-C8lz1HKEuo_130.wav",15,"Male speech, man speaking"
Dogs/2bRuZb4ZUko_30.wav,10,Dogs
Speech/1GEogW_skHk_30.wav,21,Speech
"Dishes, pots, and pans/AetY9TdftBY_21.wav",9,"Dishes, pots, and pans"
"Male speech, man speaking/0ZJQ0LPLaJ8_30.wav",15,"Male speech, man speaking"
"Female speech, woman speaking/7_smJ8VbfSU_0.wav",12,"Female speech, woman speaking"
Speech/2oFtC9eqS8c_120.wav,21,Speech
Whimper/3wtYBziMPP4_30.wav,24,Whimper
"Female speech, woman speaking/8IVPbX2bWUM_30.wav",12,"Female speech, woman speaking"
Babbling/DNRAtEjQQjY_40.wav,1,Babbling
"Dishes, pots, and pans/-YmyB631yvU_40.wav",9,"Dishes, pots, and pans"
Snicker/GB9BeLLwJVU_0.wav,20,Snicker
Screaming/G17hV80nbAg_5.wav,17,Screaming
Singing/-F5Jj5HKW4c_30.wav,18,Singing
"Female speech, woman speaking/15aqNpAmrQw_30.wav",12,"Female speech, woman speaking"
"Wail, moan/202N45_Lhn4_360.wav",23,"Wail, moan"
"Wail, moan/EthFkuz8oG4_130.wav",23,"Wail, moan"
Whimper/2LzrctTcYlw_10.wav,24,Whimper
"Male speech, man speaking/-qesxG4nu14_30.wav",15,"Male speech, man speaking"
Whoop/-27-xeDJdWk_21.wav,27,Whoop
"Female speech, woman speaking/60S8jkluLbo_30.wav",12,"Female speech, woman speaking"
Snicker/AjEuJ-PpmVE_90.wav,20,Snicker
Conversation/-rjRrTOiHvM_30.wav,7,Conversation
Clapping/MUZ9A25GOQM_430.wav,6,Clapping
Speech/AqVb10R0hLM_30.wav,21,Speech
Speech/69fizpqer38_30.wav,21,Speech
Speech/D6_USm7Tp4k_30.wav,21,Speech
Dogs/1tyEcu57iQU_50.wav,10,Dogs
Conversation/3AayAcEEk2w_30.wav,7,Conversation
